text,true_emotion,predicted_emotion
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger
#oow16 #sting decent new song,anger,joy
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,anger
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,joy
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger,joy
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger,anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger,joy
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger,fear
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,joy
I don't want speak front to him #afraid #intimidate #nopanicattack,fear,fear
Bout ta get my @dontbreathe on up in here! @WarrenTheaters  #icantholdmybreaththatlong,fear,joy
Thanks for ripping me off again #Luthansa €400 not enough for a one way flight to man from Frk then €30 for a bag then free at gate ,fear,anger
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing,fear,fear
Not the best horror ever but I like that the uncertainty,fear,joy
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear,fear
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,anger
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,fear,fear
@ReaganBattalion That's a terrible thing to accuse Scott Baio of.,fear,sadness
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,fear,anger
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,anger
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan #timid",fear,anger
There goes the butterflies in my stomach.  #anxietyproblems,fear,fear
"If i start growing out my mustache now, I can be Pablo Escobar for Halloween!!!",fear,joy
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,anger
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",fear,sadness
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful,fear,anger
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,fear,fear
There goes the butterflies in my stomach. #nervous #anxietyproblems,fear,fear
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy,joy
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,joy,joy
"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي",joy,joy
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy
A lifetime of laughter at the expense of the death of a bachelor,joy,joy
